# Env Var Inventory (non-test source)
# Generated: 2026-02-23T06:57:59Z
# Columns: env_var	reference_count	unique_file_count	files
ADAPTIVE_ALPHA	1	1	src/analytics/adaptiveLearner.ts
ADAPTIVE_LEARNING_ENABLED	1	1	src/analytics/adaptiveConfig.ts
ADAPTIVE_LOOKBACK_HOURS	1	1	src/analytics/adaptiveLearner.ts
ADAPTIVE_MAX_SIZE_STEP	1	1	src/analytics/adaptiveLearner.ts
ADAPTIVE_MAX_SLIPPAGE_STEP	1	1	src/analytics/adaptiveLearner.ts
ADAPTIVE_MIN_SAMPLES	1	1	src/analytics/adaptiveLearner.ts
ADAPTIVE_STATE_PATH	2	2	scripts/reset-first-run.js,src/analytics/adaptiveLearner.ts
ADAPTIVE_UPDATE_INTERVAL_MIN	1	1	src/analytics/adaptiveScheduler.ts
AMM_ARB_MIN_PROFIT_BPS	1	1	src/config/index.ts
ANALYTICS_CACHE_TTL_MS	1	1	src/ui/pages/api/analytics/_cache.ts
ATTRIBUTION_COLLISIONS_MAX_PER_10K	1	1	src/ui/pages/api/analytics/attribution-completeness-config.ts
ATTRIBUTION_DERIVED_CONFIDENCE_MIN	1	1	src/ui/pages/api/analytics/attribution-completeness-config.ts
ATTRIBUTION_DERIVED_REVERSAL_MAX	1	1	src/ui/pages/api/analytics/attribution-completeness-config.ts
ATTRIBUTION_DERIVED_SHARE_MAX	1	1	src/ui/pages/api/analytics/attribution-completeness-config.ts
ATTRIBUTION_DERIVED_SIZE_TOLERANCE	1	1	src/ui/pages/api/analytics/attribution-completeness-config.ts
ATTRIBUTION_DERIVED_WINDOW_MS	1	1	src/ui/pages/api/analytics/attribution-completeness-config.ts
ATTRIBUTION_DUP_FINAL_MAX_PER_10K	1	1	src/ui/pages/api/analytics/attribution-completeness-config.ts
ATTRIBUTION_MAPPING_MODES	1	1	src/ui/pages/api/analytics/attribution-completeness-config.ts
ATTRIBUTION_ORPHAN_FILLS_MAX_PER_10K	1	1	src/ui/pages/api/analytics/attribution-completeness-config.ts
ATTRIBUTION_ORPHAN_ORDERS_MAX_PER_10K	1	1	src/ui/pages/api/analytics/attribution-completeness-config.ts
ATTRIBUTION_QUARANTINE_DEFAULT_STATUSES	1	1	src/ui/pages/api/analytics/attribution-completeness-config.ts
ATTRIBUTION_QUARANTINE_P95_MAX_HOURS	1	1	src/ui/pages/api/analytics/attribution-completeness-config.ts
ATTRIBUTION_TS_MONOTONICITY_MAX_RATE	1	1	src/ui/pages/api/analytics/attribution-completeness-config.ts
ATTRIBUTION_UNKNOWN_RATE_MAX_30D	1	1	src/ui/pages/api/analytics/attribution-completeness-config.ts
ATTRIBUTION_UNKNOWN_RATE_MAX_7D	1	1	src/ui/pages/api/analytics/attribution-completeness-config.ts
ATTRIBUTION_UNKNOWN_RATE_MAX_DAILY	1	1	src/ui/pages/api/analytics/attribution-completeness-config.ts
AUDIT_LOG_MIN_LEVEL	1	1	src/ui/lib/audit/auditLogger.ts
AUDIT_LOG_SINK	1	1	src/ui/lib/audit/auditLogger.ts
AVAILABILITY_MIN_DEPTH_NOTIONAL	1	1	src/market/availabilityScanner.ts
AVAILABILITY_PROBE_ORDERBOOKS	1	1	src/market/availabilityScanner.ts
AVAILABILITY_PROBE_TRUSTLINES	1	1	src/market/availabilityScanner.ts
AVAILABILITY_REQUEST_TIMEOUT_MS	1	1	src/market/availabilityScanner.ts
AVAILABILITY_SCAN_INTERVAL_MS	1	1	src/market/availabilityScanner.ts
AWS_EXECUTION_ENV	2	2	src/security/localOnly.ts,src/ui/lib/security/localOnly.ts
AWS_LAMBDA_FUNCTION_NAME	2	2	src/security/localOnly.ts,src/ui/lib/security/localOnly.ts
AWS_REGION	3	3	src/security/localOnly.ts,src/ui/lib/security/localOnly.ts,src/xrpl/signer.ts
AZURE_FUNCTIONS_ENVIRONMENT	1	1	src/security/localOnly.ts
BOT_ALLOW_REMOTE	4	4	server.js,src/security/safetyPolicy.ts,src/security/localOnly.ts,src/ui/lib/security/localOnly.ts
BOT_API_ALLOWED_ORIGINS	1	1	src/ui/lib/http/cors.ts
BOT_API_DEV_MODE	1	1	src/ui/lib/localApi/withLocalApi.ts
BOT_API_URL	1	1	scripts/daily-health-check.js
BOT_LOCAL_ONLY	4	4	src/security/safetyPolicy.ts,src/security/localOnly.ts,src/ui/lib/security/localOnly.ts,src/ui/pages/api/debug/tx-intent.ts
BOT_LOOP_MIN_DELAY_MS	2	2	src/ui/lib/botController.ts,src/utils/sleep.ts
BOT_WIRING_HEALTH_TIMEOUT_MS	1	1	src/ui/lib/health/botWiringHealth.ts
CAPITAL_PROTECTION_ENABLED	1	1	src/risk/capitalProtection.ts
CONSECUTIVE_FAILURE_KILL_SWITCH	1	1	src/config/index.ts
COOLDOWN_MS	1	1	src/config/index.ts
CPU_MAX_DURATION_MS	1	1	src/monitoring/cpuWatchdog.ts
CPU_MAX_PERCENT	1	1	src/monitoring/cpuWatchdog.ts
CP_CONSEC_FAIL_SHUTDOWN	1	1	src/risk/capitalProtection.ts
CP_LOOKBACK_TRADES	1	1	src/risk/capitalProtection.ts
CP_MAX_AVG_SLIPPAGE_BPS	1	1	src/risk/capitalProtection.ts
CP_MAX_PARTIAL_FILL_RATE	1	1	src/risk/capitalProtection.ts
CP_MAX_ROLLING_DRAWDOWN_PCT	1	1	src/risk/capitalProtection.ts
CP_MIN_EXPECTANCY_BPS	1	1	src/risk/capitalProtection.ts
CP_MIN_PEAK_EQUITY_FOR_DRAWDOWN	1	1	src/risk/capitalProtection.ts
CP_MIN_PROFIT_FACTOR	1	1	src/risk/capitalProtection.ts
CP_MIN_TRADES	2	1	src/risk/capitalProtection.ts
CP_MIN_TRADES_FOR_DRAWDOWN	1	1	src/risk/capitalProtection.ts
CP_PAUSE_COOLDOWN_MS	1	1	src/risk/capitalProtection.ts
CP_SIZE_PAUSE_MULT	1	1	src/risk/capitalProtection.ts
CP_SIZE_THROTTLE_MULT	1	1	src/risk/capitalProtection.ts
CP_THROTTLE_COOLDOWN_MS	1	1	src/risk/capitalProtection.ts
CSV_EXPORT_PATH	2	2	scripts/reset-first-run.js,src/config/index.ts
DIGITALOCEAN_APP_ID	1	1	src/security/localOnly.ts
DOCKER	1	1	src/security/localOnly.ts
DOCKER_CONTAINER	1	1	src/security/localOnly.ts
DYNO	1	1	src/security/localOnly.ts
ENABLE_TESTNET_FAUCET	1	1	src/config/index.ts
ENTRY_GATE_BLOCK_LOCAL_EXTREME	1	1	src/strategies/entryGate.ts
ENTRY_GATE_ENABLED	1	1	src/strategies/entryGate.ts
ENTRY_GATE_LOCAL_EXTREME_DECAY	1	1	src/strategies/entryGate.ts
ENTRY_GATE_LOCAL_EXTREME_THRESHOLD	1	1	src/strategies/entryGate.ts
ENTRY_GATE_MAX_BOOK_STALE_MS	1	1	src/strategies/entryGate.ts
ENTRY_GATE_MAX_SPREAD_BPS	1	1	src/strategies/entryGate.ts
ENTRY_GATE_MIN_SIGNAL_STRENGTH	1	1	src/strategies/entryGate.ts
ENTRY_GATE_MIN_SPREAD_BPS	1	1	src/strategies/entryGate.ts
ENTRY_GATE_REJECT_THROTTLE_BLOCK	1	1	src/strategies/entryGate.ts
ENTRY_GATE_REJECT_THROTTLE_CHECK_MS	1	1	src/strategies/entryGate.ts
ENTRY_GATE_REJECT_THROTTLE_COOLDOWN_MS	1	1	src/strategies/entryGate.ts
ENTRY_GATE_REJECT_THROTTLE_ENABLED	1	1	src/strategies/entryGate.ts
ENTRY_GATE_REJECT_THROTTLE_LOOKBACK_MS	1	1	src/strategies/entryGate.ts
ENTRY_GATE_REJECT_THROTTLE_MAX_RATE	1	1	src/strategies/entryGate.ts
ENTRY_GATE_REJECT_THROTTLE_MIN_SAMPLES	1	1	src/strategies/entryGate.ts
ENTRY_GATE_REJECT_THROTTLE_MIN_SPREAD_BPS	1	1	src/strategies/entryGate.ts
ENTRY_GATE_REQUIRE_FLOW	1	1	src/strategies/entryGate.ts
EVENT_LOOP_LAG_LIMIT_MS	1	1	src/monitoring/eventLoopLag.ts
EVENT_LOOP_SAMPLE_INTERVAL_MS	1	1	src/monitoring/eventLoopLag.ts
EXECUTION_DEPTH_LEVELS	1	1	src/execution/offerExecutor.ts
EXECUTION_IDEMPOTENCY_WINDOW_MS	1	1	src/execution/offerExecutor.ts
EXECUTION_IOC_MIN_FILL_RATIO	1	1	src/execution/offerExecutor.ts
EXECUTION_LAST_LEDGER_SLACK	1	1	src/execution/offerExecutor.ts
EXECUTION_MIN_BASE	1	1	src/execution/offerExecutor.ts
EXECUTION_MIN_QUOTE	1	1	src/execution/offerExecutor.ts
EXECUTION_ORDER_TYPE	1	1	src/execution/orderType.ts
EXECUTION_REPRICE_MAX_BPS	1	1	src/execution/offerExecutor.ts
EXPOSURE_DB_PATH	3	3	scripts/reset-first-run.js,src/persistence/exposureStore.ts,src/runtime/firstRunInit.ts
EXPOSURE_PERSISTENCE	1	1	src/risk/exposureTracker.ts
FEATURE_AUDIT_GUARDS	1	1	src/execution/offerExecutor.ts
FEATURE_EXECUTION_DEPTH_LEDGER_CURRENT	1	1	src/execution/offerExecutor.ts
FEATURE_EXECUTION_DEPTH_REPRICE	1	1	src/execution/offerExecutor.ts
FEATURE_EXECUTION_LLS_SLACK	1	1	src/execution/offerExecutor.ts
FEATURE_EXECUTION_MIN_ORDER_SANITY	1	1	src/execution/offerExecutor.ts
FEATURE_EXECUTION_PRICE_SANITY	1	1	src/execution/offerExecutor.ts
FEATURE_TRADE_TOASTS_ENABLED	1	1	src/config/index.ts
FEATURE_XRPL_DISCOVERY_ENABLED	1	1	src/config/index.ts
FEEDBACK_DB_PATH	13	8	scripts/daily-health-check.js,scripts/reset-first-run.js,scripts/backfill-feedback-db.js,scripts/backtest-buckets.js,scripts/backfill-feedback-panels.js,scripts/audit-trade-costs.js,src/runtime/firstRunInit.ts,src/analytics/feedbackDb.ts
FEEDBACK_DB_VERBOSE	1	1	src/analytics/feedbackDb.ts
