file	xrpl_client	runtime_hooks_or_controller	cache_or_state
src/ui/pages/api/analytics/adaptive/explain.ts	0	0	0
src/ui/pages/api/analytics/adaptive/recompute.ts	0	0	0
src/ui/pages/api/analytics/adaptive/state.ts	0	0	0
src/ui/pages/api/analytics/adaptive/toggle.ts	0	0	0
src/ui/pages/api/analytics/adverse-selection-rate.ts	0	0	1
src/ui/pages/api/analytics/attribution-completeness-config.ts	0	0	0
src/ui/pages/api/analytics/costs.ts	0	0	1
src/ui/pages/api/analytics/edge-attribution.ts	0	0	1
src/ui/pages/api/analytics/execution-quality.ts	0	0	1
src/ui/pages/api/analytics/governance/state.ts	0	1	0
src/ui/pages/api/analytics/latency-impact-config.ts	0	0	0
src/ui/pages/api/analytics/regimes/heatmap.ts	0	0	1
src/ui/pages/api/analytics/regimes/policy.ts	0	1	0
src/ui/pages/api/analytics/regimes/recompute.ts	0	1	0
src/ui/pages/api/analytics/slippage-realism-config.ts	0	0	0
src/ui/pages/api/analytics/summary.ts	0	0	1
src/ui/pages/api/bot/flow.ts	0	1	1
src/ui/pages/api/bot/kill.ts	0	1	1
src/ui/pages/api/bot/logs.ts	0	0	0
src/ui/pages/api/bot/orders.ts	1	1	0
src/ui/pages/api/bot/pause.ts	0	1	1
src/ui/pages/api/bot/position-size.ts	0	1	0
src/ui/pages/api/bot/price.ts	1	0	0
src/ui/pages/api/bot/risk.ts	0	1	1
src/ui/pages/api/bot/run.ts	0	1	1
src/ui/pages/api/bot/status.ts	0	1	1
src/ui/pages/api/bot/trades.ts	0	0	1
src/ui/pages/api/bot/trading-pair.ts	0	1	0
src/ui/pages/api/bot/volatility-stop.ts	0	1	1
src/ui/pages/api/bot/wallet.ts	1	0	0
src/ui/pages/api/debug/data-wiring.ts	0	0	1
src/ui/pages/api/debug/execution-quality/buckets.ts	0	0	1
src/ui/pages/api/debug/tx-intent.ts	1	0	1
src/ui/pages/api/metrics.ts	0	1	1
src/ui/pages/api/metrics/runtime.ts	0	0	1
src/ui/pages/api/pairs/[key]/candles.ts	0	0	0
src/ui/pages/api/pairs/[key]/orderbook.ts	1	0	0
src/ui/pages/api/pairs/[key]/summary.ts	1	0	0
src/ui/pages/api/pairs/[key]/trades.ts	0	0	0
src/ui/pages/api/pairs/index.ts	0	1	0
src/ui/pages/api/runtime/balances.ts	0	0	1
src/ui/pages/api/runtime/events.ts	0	0	0
src/ui/pages/api/runtime/state.ts	0	0	1
src/ui/pages/api/trades/stream.ts	0	0	1
src/ui/pages/api/trades/tape.ts	0	0	1
